client_id,full_name,fio,phone,email,city,created_at,last_order_at,total_spent
c106885,Мария Зуева,,+79828627882,user106885@example.ru,Казань,,2026-08-10,81073
c106060,,Егор Лаптев,+7 (942) 657-20-96,user106060@example.ru,С.-Петербург,20.04.2026,,
c90909,,Артур Белых,+7 (966) 672-05-92,user90909@example.ru,Екатеринбург,12.02.2025,,
c100848,Анна Зуева,,+79957951418,user100848@example.ru,Санкт-Петербург,,2026-01-15,158227
c103142,Кирилл Тихонов,,+79522326612,user103142@example.ru,Казань,,2026-09-09,77618
c91698,,Юлия Ермакова,+7 (942) 876-61-25,user91698@example.ru,Красноярск,29.06.2026,,
c104082,Елена Тихонова,,+79320228419,user104082@example.ru,Казань,,2026-06-09,128169
c90055,,Алиса Осипова,+7 (983) 697-99-34,user90055@example.ru,Новосибирск,09.05.2025,,
c103608,,Тимур Сорокин,+7 (951) 276-65-06,user103608@example.ru,Москва,19.01.2024,,
c104007,Павел Сорокин,,+79932637740,user104007@example.ru,Красноярск,,2026-08-18,19939
c106552,Алиса Нестерова,,+79525952680,user106552@example.ru,Казань,,2026-09-09,141496
c100927,Роман Сорокин,,+79949177448,user100927@example.ru,Новосибирск,,2026-08-05,57972
c103879,Кирилл Белых,,+79553791031,user103879@example.ru,Новосибирск,,2026-08-17,97813
c106021,Лидия Панина,,+79261789852,user106021@example.ru,Санкт-Петербург,,2026-08-24,123572
c101554,,Кирилл Ермаков,+7 (922) 244-30-56,user101554@example.ru,С.-Петербург,23.01.2026,,
c106750,Полина Зуева,,+79499694581,user106750@example.ru,Казань,,2026-09-08,167813
c105260,Павел Савельев,,+79226767119,user105260@example.ru,Красноярск,,2026-06-15,119494
c92352,,Егор Крылов,+7 (976) 104-80-49,user92352@example.ru,Красноярск,15.06.2024,,
c106768,Кирилл Панин,,+79722501220,user106768@example.ru,Екатеринбург,,2026-01-15,177652
c103716,Анна Ковальчук,,+79413249340,user103716@example.ru,Екатеринбург,,2026-07-23,107905
c105309,,Юлия Панина,+7 (999) 728-22-61,user105309@example.ru,Красноярск,29.04.2024,,
c90932,,Лидия Гордеева,+7 (983) 958-47-31,user90932@example.ru,Екатеринбург,27.10.2024,,
c103715,Лидия Ковальчук,,+79978133796,user103715@example.ru,Казань,,2026-05-14,128138
c102389,Вера Юдина,,+79198029195,user102389@example.ru,Санкт-Петербург,,2026-03-16,160553
c101570,Егор Нестеров,,+79302383065,user101570@example.ru,Москва,,2026-08-29,116576
c102412,Егор Ковальчук,,+79502443649,user102412@example.ru,Санкт-Петербург,,2026-02-23,167374
c106593,Ольга Крылова,,+79147386226,user106593@example.ru,Екатеринбург,,2026-03-23,83728
c102785,Денис Сорокин,,+79176359428,user102785@example.ru,Казань,,2026-02-05,130969
c103040,,Павел Лаптев,+7 (929) 238-34-85,user103040@example.ru,Красноярск,04.10.2024,,
c102605,Лидия Ермакова,,+79397354488,user102605@example.ru,Красноярск,,2026-04-09,104504
c101125,Роман Нестеров,,+79941877633,user101125@example.ru,Новосибирск,,2026-02-20,36459
c104966,Кирилл Юдин,,+79818644714,user104966@example.ru,Екатеринбург,,2026-07-06,170132
c103607,Тимур Панин,,+79130860497,user103607@example.ru,Казань,,2026-06-24,21803
c105042,Лидия Мешкова,,+79729930253,user105042@example.ru,Новосибирск,,2026-04-25,36751
c102272,Игорь Крылов,,+79958522293,user102272@example.ru,Красноярск,,2026-03-20,55413
c104661,Глеб Крылов,,+79389626304,user104661@example.ru,Новосибирск,,2026-09-09,124944
c105937,Максим Панин,,+79614165779,user105937@example.ru,Новосибирск,,2026-01-24,134698
c91235,,Игорь Нестеров,+7 (935) 105-29-91,user91235@example.ru,Новосибирск,28.03.2026,,
c102533,Анна Юдина,,+79676226662,user102533@example.ru,Красноярск,,2026-03-27,31902
c104605,Павел Тихонов,,+79878267805,user104605@example.ru,Красноярск,,2026-01-13,59544
c105396,,Ольга Сорокина,+7 (978) 155-93-32,user105396@example.ru,С.-Петербург,24.04.2024,,
c90418,,Максим Ковальчук,+7 (942) 821-17-07,user90418@example.ru,Красноярск,08.02.2024,,
c101777,Анна Савельева,,+79325938367,user101777@example.ru,Казань,,2026-04-18,28889
c90651,,Тимур Зуев,+7 (970) 169-73-38,user90651@example.ru,Красноярск,10.09.2025,,
c91950,,Алиса Лаптева,+7 (913) 586-27-33,user91950@example.ru,С.-Петербург,25.06.2024,,
c102790,Анна Сорокина,,+79995160669,user102790@example.ru,Екатеринбург,,2026-04-09,98785
c106760,,Егор Панин,+7 (951) 156-05-31,user106760@example.ru,Новосибирск,29.04.2024,,
c90547,,Игорь Панин,+7 (990) 647-44-50,user90547@example.ru,С.-Петербург,22.10.2024,,
c104768,Мария Юдина,,+79717918116,user104768@example.ru,Москва,,2026-08-23,65242
c100846,Ольга Сорокина,,+79643171648,user100846@example.ru,Казань,,2026-05-25,59514
c90992,,Полина Лаптева,+7 (926) 918-83-47,user90992@example.ru,Красноярск,12.01.2025,,
c100080,Алиса Шилова,,+79433255275,user100080@example.ru,Санкт-Петербург,,2026-02-09,25834
c104682,Юлия Панина,,+79721983093,user104682@example.ru,Красноярск,,2026-06-14,40568
c101880,Ольга Савельева,,+79374937382,user101880@example.ru,Москва,,2026-05-26,21031
c101386,Ольга Савельева,,+79177605610,user101386@example.ru,Красноярск,,2026-02-10,17379
c106254,Кирилл Ермаков,,+79415195166,user106254@example.ru,Красноярск,,2026-05-23,148394
c101739,Наталья Осипова,,+79571744068,user101739@example.ru,Красноярск,,2026-04-02,125724
c106853,Елена Мешкова,,+79806113405,user106853@example.ru,Новосибирск,,2026-06-15,6105
c101470,Павел Ермаков,,+79589372680,user101470@example.ru,Новосибирск,,2026-07-25,153136
c104923,Павел Гордеев,,+79929811223,user104923@example.ru,Санкт-Петербург,,2026-07-16,163993
c102225,,Полина Лаптева,+7 (984) 663-77-96,user102225@example.ru,С.-Петербург,01.03.2025,,
c103065,Алиса Ермакова,,+79893730504,user103065@example.ru,Казань,,2026-07-09,60331
c104832,Егор Осипов,,+79140964444,user104832@example.ru,Санкт-Петербург,,2026-01-26,92237
c101396,Наталья Юдина,,+79306832244,user101396@example.ru,Екатеринбург,,2026-04-09,25272
c102229,Игорь Тихонов,,+79505256357,user102229@example.ru,Екатеринбург,,2026-08-29,33366
c104074,Анна Белых,,+79609318202,user104074@example.ru,Санкт-Петербург,,2026-07-29,171406
c100464,Тимур Савельев,,+79973403261,user100464@example.ru,Екатеринбург,,2026-05-13,92901
c92086,,Кирилл Ермаков,+7 (965) 245-15-12,user92086@example.ru,Новосибирск,28.02.2025,,
c106224,Кирилл Белых,,+79188613368,user106224@example.ru,Казань,,2026-06-21,132836
c102469,Анна Гордеева,,+79426015963,user102469@example.ru,Казань,,2026-02-03,164767
c90583,,Игорь Панин,+7 (988) 798-18-24,user90583@example.ru,Новосибирск,06.09.2024,,
c102122,Наталья Крылова,,+79341581781,user102122@example.ru,Екатеринбург,,2026-05-19,3266
c104167,Ольга Крылова,,+79697857542,user104167@example.ru,Красноярск,,2026-04-03,52571
c106215,Елена Шилова,,+79784572244,user106215@example.ru,Красноярск,,2026-01-25,81479
c102842,Артур Мешков,,+79412476852,user102842@example.ru,Екатеринбург,,2026-01-21,129570
c91319,,Егор Тихонов,+7 (974) 686-22-06,user91319@example.ru,Москва,14.01.2025,,
c100793,Тимур Зуев,,+79759541882,user100793@example.ru,Санкт-Петербург,,2026-09-06,157637
c100773,Игорь Мешков,,+79704214546,user100773@example.ru,Екатеринбург,,2026-01-14,105498
c102092,Лидия Тихонова,,+79737677905,user102092@example.ru,Новосибирск,,2026-01-29,171973
c102674,,Павел Ковальчук,+7 (985) 558-57-75,user102674@example.ru,Казань,30.05.2025,,
c104098,Максим Шилов,,+79912757580,user104098@example.ru,Санкт-Петербург,,2026-07-23,101896
c100179,Анна Гордеева,,+79729454981,user100179@example.ru,Новосибирск,,2026-03-26,149593
c90942,,Наталья Мешкова,+7 (983) 476-26-82,user90942@example.ru,Екатеринбург,30.06.2026,,
c92443,,Елена Осипова,+7 (995) 054-18-04,user92443@example.ru,Красноярск,31.01.2024,,
c105742,Анна Крылова,,+79874999717,user105742@example.ru,Казань,,2026-08-19,2692
c104733,Вера Савельева,,+79332940061,user104733@example.ru,Новосибирск,,2026-01-23,116128
c90591,,Глеб Юдин,+7 (935) 196-01-77,user90591@example.ru,Красноярск,26.05.2026,,
c105523,Роман Осипов,,+79296110619,user105523@example.ru,Москва,,2026-09-06,53281
c91017,,Анна Белых,+7 (996) 559-00-58,user91017@example.ru,Красноярск,29.10.2025,,
c105975,Игорь Гордеев,,+79689000588,user105975@example.ru,Санкт-Петербург,,2026-08-09,113383
c104906,,Денис Ермаков,+7 (960) 053-35-88,user104906@example.ru,Казань,31.07.2024,,
c106089,Вера Крылова,,+79588775090,user106089@example.ru,Екатеринбург,,2026-01-13,81671
c91342,,Игорь Ковальчук,+7 (915) 647-94-88,user91342@example.ru,Москва,01.02.2025,,
c91796,,Кирилл Зуев,+7 (978) 623-59-03,user91796@example.ru,Казань,30.03.2025,,
c106148,Тимур Гордеев,,+79939366893,user106148@example.ru,Новосибирск,,2026-01-08,176951
c90054,,Тимур Ковальчук,+7 (951) 772-06-33,user90054@example.ru,Красноярск,12.06.2026,,
c103707,Роман Панин,,+79693322867,user103707@example.ru,Москва,,2026-02-23,90372
c103179,,Павел Юдин,+7 (982) 142-44-46,user103179@example.ru,Новосибирск,27.04.2025,,
c104770,Полина Зуева,,+79687867318,user104770@example.ru,Санкт-Петербург,,2026-01-18,17712
c103883,Вера Шилова,,+79712197144,user103883@example.ru,Москва,,2026-04-23,35315
c100273,Егор Осипов,,+79156444600,user100273@example.ru,Новосибирск,,2026-08-03,7521
c105746,Артур Нестеров,,+79232566489,user105746@example.ru,Санкт-Петербург,,2026-05-25,32582
c91484,,Роман Осипов,+7 (964) 141-22-27,user91484@example.ru,Новосибирск,13.10.2025,,
c101147,Игорь Шилов,,+79860882433,user101147@example.ru,Москва,,2026-08-01,139500
c90578,,Ольга Юдина,+7 (981) 595-63-17,user90578@example.ru,Москва,19.02.2025,,
c103890,Павел Панин,,+79461292060,user103890@example.ru,Казань,,2026-04-23,40304
c106249,Павел Крылов,,+79951053166,user106249@example.ru,Екатеринбург,,2026-05-04,89637
c101566,,Игорь Гордеев,+7 (918) 178-48-47,user101566@example.ru,Красноярск,13.01.2025,,
c104997,Наталья Шилова,,+79871359430,user104997@example.ru,Казань,,2026-08-17,175989
c104083,Алиса Нестерова,,+79853617969,user104083@example.ru,Красноярск,,2026-05-25,175636
c100678,,Мария Сорокина,+7 (967) 345-23-45,user100678@example.ru,С.-Петербург,16.04.2024,,
c104294,Лидия Тихонова,,+79544828592,user104294@example.ru,Новосибирск,,2026-02-17,79440
c105591,Тимур Нестеров,,+79297964712,user105591@example.ru,Красноярск,,2026-07-14,103487
c106175,Вера Гордеева,,+79391857991,user106175@example.ru,Новосибирск,,2026-04-26,154898
c90848,,Алиса Белых,+7 (918) 933-78-32,user90848@example.ru,Казань,30.01.2024,,
c90352,,Максим Белых,+7 (937) 067-00-49,user90352@example.ru,Москва,16.01.2024,,
c100529,Глеб Осипов,,+79251710646,user100529@example.ru,Красноярск,,2026-09-02,17729
c90887,,Ольга Юдина,+7 (947) 633-64-21,user90887@example.ru,Казань,02.04.2024,,
c101409,,Глеб Сорокин,+7 (941) 560-48-57,user101409@example.ru,Красноярск,01.04.2024,,
c90425,,Роман Ермаков,+7 (982) 748-41-50,user90425@example.ru,Москва,24.04.2024,,
c91139,,Ольга Савельева,+7 (960) 888-85-08,user91139@example.ru,Екатеринбург,14.03.2025,,
c102313,Кирилл Шилов,,+79374407880,user102313@example.ru,Санкт-Петербург,,2026-08-27,135100
c105183,Глеб Осипов,,+79664621302,user105183@example.ru,Москва,,2026-04-20,157458
c91797,,Кирилл Тихонов,+7 (939) 951-18-21,user91797@example.ru,Казань,13.01.2024,,
c104789,Кирилл Сорокин,,+79652351451,user104789@example.ru,Новосибирск,,2026-04-21,14352
c91032,,Полина Гордеева,+7 (937) 571-02-15,user91032@example.ru,Екатеринбург,25.02.2026,,
c105244,Максим Крылов,,+79860057009,user105244@example.ru,Москва,,2026-04-06,175854
c101706,Наталья Мешкова,,+79130838774,user101706@example.ru,Санкт-Петербург,,2026-08-18,179674
c105941,Елена Сорокина,,+79615782161,user105941@example.ru,Екатеринбург,,2026-03-28,8192
c102429,,Анна Осипова,+7 (955) 068-83-89,user102429@example.ru,Казань,15.01.2025,,
c103559,Кирилл Тихонов,,+79592117138,user103559@example.ru,Санкт-Петербург,,2026-05-13,171803
c102539,Елена Белых,,+79462895634,user102539@example.ru,Красноярск,,2026-07-14,102566
c101769,,Максим Лаптев,+7 (943) 015-76-13,user101769@example.ru,С.-Петербург,23.06.2025,,
c91356,,Роман Зуев,+7 (916) 822-55-55,user91356@example.ru,Красноярск,16.02.2026,,
c100010,Павел Ермаков,,+79861886813,user100010@example.ru,Санкт-Петербург,,2026-06-09,3032
c104293,Наталья Белых,,+79980531356,user104293@example.ru,Москва,,2026-01-27,7488
c91833,,Игорь Крылов,+7 (945) 741-19-46,user91833@example.ru,Казань,09.05.2025,,
c105887,Артур Юдин,,+79188949227,user105887@example.ru,Красноярск,,2026-08-04,159892
c91152,,Кирилл Осипов,+7 (987) 707-65-16,user91152@example.ru,Красноярск,04.11.2024,,
c103805,Вера Осипова,,+79587727058,user103805@example.ru,Санкт-Петербург,,2026-05-24,162341
c92248,,Вера Панина,+7 (971) 414-96-47,user92248@example.ru,Красноярск,24.06.2025,,
c105403,Елена Нестерова,,+79630409159,user105403@example.ru,Новосибирск,,2026-09-02,55138
c92379,,Ольга Нестерова,+7 (915) 270-00-58,user92379@example.ru,Москва,09.02.2025,,
c106717,Павел Белых,,+79216873769,user106717@example.ru,Санкт-Петербург,,2026-01-25,131999
c104391,Наталья Ермакова,,+79466897195,user104391@example.ru,Казань,,2026-05-22,119467
c102930,,Артур Зуев,+7 (958) 971-10-16,user102930@example.ru,Красноярск,10.05.2026,,
c100343,Лидия Гордеева,,+79996737492,user100343@example.ru,Казань,,2026-04-29,143308
c103953,Максим Мешков,,+79766553831,user103953@example.ru,Екатеринбург,,2026-03-03,161666
c103021,Мария Ермакова,,+79922168153,user103021@example.ru,Москва,,2026-05-10,77307
c104764,Лидия Лаптева,,+79986404966,user104764@example.ru,Новосибирск,,2026-02-20,143707
c103317,Артур Юдин,,+79486586347,user103317@example.ru,Екатеринбург,,2026-05-20,138153
c100188,Глеб Панин,,+79861205598,user100188@example.ru,Новосибирск,,2026-04-15,136860
c91099,,Юлия Лаптева,+7 (947) 177-03-93,user91099@example.ru,Москва,13.02.2026,,
c106752,Павел Савельев,,+79756757654,user106752@example.ru,Казань,,2026-05-08,143495
c90488,,Тимур Ковальчук,+7 (934) 766-09-45,user90488@example.ru,Красноярск,26.06.2024,,
c103407,Анна Шилова,,+79438337949,user103407@example.ru,Москва,,2026-05-19,7386
c103976,Полина Осипова,,+79154679931,user103976@example.ru,Санкт-Петербург,,2026-08-24,80217
c105287,Павел Шилов,,+79178534050,user105287@example.ru,Казань,,2026-07-20,91468
c91977,,Мария Ковальчук,+7 (946) 360-80-39,user91977@example.ru,Москва,19.04.2024,,
c92215,,Максим Ермаков,+7 (971) 678-68-44,user92215@example.ru,Москва,25.04.2025,,
c104445,Роман Белых,,+79737919072,user104445@example.ru,Казань,,2026-07-31,77801
c91761,,Игорь Панин,+7 (930) 465-48-61,user91761@example.ru,Красноярск,28.04.2025,,
c103262,Ольга Панина,,+79689123348,user103262@example.ru,Казань,,2026-03-02,23110
c102344,Глеб Крылов,,+79622841191,user102344@example.ru,Новосибирск,,2026-08-23,152957
c105918,Кирилл Лаптев,,+79157367009,user105918@example.ru,Казань,,2026-07-28,69145
c103962,,Максим Тихонов,+7 (939) 213-48-49,user103962@example.ru,Казань,07.10.2025,,
c106777,Максим Савельев,,+79751195380,user106777@example.ru,Казань,,2026-05-05,93341
c104568,Глеб Ковальчук,,+79855643580,user104568@example.ru,Красноярск,,2026-08-01,151280
c100833,Денис Сорокин,,+79658582845,user100833@example.ru,Новосибирск,,2026-09-09,23566
c102547,Роман Осипов,,+79132483139,user102547@example.ru,Казань,,2026-04-24,152303
c91600,,Анна Ковальчук,+7 (999) 422-14-14,user91600@example.ru,Москва,07.01.2025,,
c91565,,Игорь Нестеров,+7 (992) 433-03-08,user91565@example.ru,С.-Петербург,30.01.2025,,
c92420,,Полина Сорокина,+7 (944) 027-79-77,user92420@example.ru,Москва,22.03.2025,,
c101847,Егор Тихонов,,+79145850435,user101847@example.ru,Екатеринбург,,2026-06-15,18590
c106239,Юлия Панина,,+79401749014,user106239@example.ru,Екатеринбург,,2026-06-29,101877
c106866,,Егор Юдин,+7 (956) 605-42-00,user106866@example.ru,Казань,12.03.2026,,
c100366,Анна Ермакова,,+79328729807,user100366@example.ru,Красноярск,,2026-05-19,172931
c106348,Максим Сорокин,,+79118559490,user106348@example.ru,Санкт-Петербург,,2026-09-02,65083
c104430,Ольга Зуева,,+79975660718,user104430@example.ru,Казань,,2026-08-23,164902
c103808,Ольга Белых,,+79821018152,user103808@example.ru,Красноярск,,2026-07-21,47069
c103218,Мария Нестерова,,+79363439034,user103218@example.ru,Новосибирск,,2026-05-04,146732
c103036,Кирилл Белых,,+79615998222,user103036@example.ru,Новосибирск,,2026-04-14,103656
c90032,,Полина Ковальчук,+7 (913) 590-06-18,user90032@example.ru,Казань,31.08.2025,,
c90234,,Кирилл Крылов,+7 (938) 431-54-07,user90234@example.ru,Красноярск,12.04.2025,,
c91004,,Юлия Мешкова,+7 (990) 481-10-48,user91004@example.ru,Екатеринбург,25.10.2025,,
c100210,Егор Сорокин,,+79938733487,user100210@example.ru,Новосибирск,,2026-06-22,153579
c101122,Павел Зуев,,+79344378980,user101122@example.ru,Казань,,2026-02-21,134336
c91199,,Тимур Савельев,+7 (919) 270-98-88,user91199@example.ru,Москва,09.11.2025,,
c90737,,Кирилл Зуев,+7 (934) 877-31-73,user90737@example.ru,Казань,17.04.2026,,
c91330,,Вера Сорокина,+7 (926) 858-58-74,user91330@example.ru,Екатеринбург,06.06.2025,,
c106320,Артур Савельев,,+79309043000,user106320@example.ru,Казань,,2026-03-09,38891
c104419,Лидия Шилова,,+79894230536,user104419@example.ru,Санкт-Петербург,,2026-03-19,169998
c100046,Артур Сорокин,,+79931418805,user100046@example.ru,Санкт-Петербург,,2026-08-13,75112
c90659,,Кирилл Панин,+7 (972) 919-17-29,user90659@example.ru,Красноярск,19.05.2025,,
c104796,Мария Ермакова,,+79948472239,user104796@example.ru,Красноярск,,2026-04-07,150820
c102536,Глеб Панин,,+79232922724,user102536@example.ru,Красноярск,,2026-07-08,28024
c100361,Анна Сорокина,,+79935390366,user100361@example.ru,Екатеринбург,,2026-07-29,113988
c100500,Алиса Осипова,,+79864227081,user100500@example.ru,Казань,,2026-01-30,130161
c106659,Егор Савельев,,+79932165425,user106659@example.ru,Екатеринбург,,2026-01-21,158564
c104560,Елена Шилова,,+79723572535,user104560@example.ru,Екатеринбург,,2026-07-01,121572
c102360,,Денис Осипов,+7 (923) 292-34-41,user102360@example.ru,Москва,29.06.2024,,
c103947,Юлия Панина,,+79276783949,user103947@example.ru,Екатеринбург,,2026-06-15,36817
c106166,Лидия Мешкова,,+79269408774,user106166@example.ru,Санкт-Петербург,,2026-07-15,28987
c103977,Павел Тихонов,,+79411994493,user103977@example.ru,Москва,,2026-05-09,137306
c100737,Наталья Юдина,,+79963324835,user100737@example.ru,Красноярск,,2026-02-23,46008
c91011,,Кирилл Крылов,+7 (962) 355-63-56,user91011@example.ru,С.-Петербург,02.02.2025,,
c101805,Денис Гордеев,,+79250949875,user101805@example.ru,Новосибирск,,2026-09-06,170624
c105935,Полина Ермакова,,+79304387438,user105935@example.ru,Красноярск,,2026-08-10,133765
c105868,Егор Сорокин,,+79853413493,user105868@example.ru,Новосибирск,,2026-08-20,96624
c102060,Наталья Нестерова,,+79490066729,user102060@example.ru,Казань,,2026-05-10,154841
c102088,Алиса Лаптева,,+79160496474,user102088@example.ru,Санкт-Петербург,,2026-09-04,17180
c106197,Егор Панин,,+79264926622,user106197@example.ru,Новосибирск,,2026-07-05,11809
c90562,,Тимур Савельев,+7 (995) 331-52-57,user90562@example.ru,Екатеринбург,18.04.2026,,
c104249,Полина Юдина,,+79344981834,user104249@example.ru,Новосибирск,,2026-08-14,154075
c90413,,Тимур Зуев,+7 (994) 891-01-37,user90413@example.ru,С.-Петербург,12.01.2024,,
c101676,Полина Гордеева,,+79418220154,user101676@example.ru,Москва,,2026-08-24,167928
c91718,,Роман Савельев,+7 (971) 744-51-11,user91718@example.ru,Екатеринбург,23.12.2025,,
c100653,Анна Лаптева,,+79519270358,user100653@example.ru,Екатеринбург,,2026-05-04,139511
c101853,,Павел Зуев,+7 (991) 175-00-27,user101853@example.ru,Казань,30.10.2025,,
c102739,Денис Крылов,,+79946885289,user102739@example.ru,Екатеринбург,,2026-07-20,72068
c103670,Мария Сорокина,,+79212424022,user103670@example.ru,Санкт-Петербург,,2026-03-04,156654
c92388,,Лидия Осипова,+7 (965) 019-13-58,user92388@example.ru,Екатеринбург,18.07.2025,,
c102310,Денис Панин,,+79281096222,user102310@example.ru,Санкт-Петербург,,2026-05-03,141945
c91469,,Артур Панин,+7 (998) 209-76-06,user91469@example.ru,Екатеринбург,09.07.2024,,
c101767,,Наталья Лаптева,+7 (955) 504-84-53,user101767@example.ru,Казань,24.04.2024,,
c101869,Наталья Осипова,,+79322919985,user101869@example.ru,Москва,,2026-07-01,103549
c105398,Павел Гордеев,,+79444883301,user105398@example.ru,Казань,,2026-06-01,76597
c102517,Анна Нестерова,,+79900865160,user102517@example.ru,Москва,,2026-07-11,134131
c103386,Мария Сорокина,,+79989121890,user103386@example.ru,Новосибирск,,2026-03-02,112261
c103093,Анна Юдина,,+79203710216,user103093@example.ru,Екатеринбург,,2026-03-18,151277
c106568,Юлия Тихонова,,+79236954353,user106568@example.ru,Новосибирск,,2026-07-05,10598
c101573,Максим Зуев,,+79947496152,user101573@example.ru,Екатеринбург,,2026-03-21,103565
c90665,,Полина Панина,+7 (990) 342-27-43,user90665@example.ru,Новосибирск,10.11.2025,,
c103375,Тимур Ковальчук,,+79529327672,user103375@example.ru,Москва,,2026-05-04,41670
c91665,,Вера Панина,+7 (990) 091-80-01,user91665@example.ru,Москва,19.03.2026,,
c101075,Артур Крылов,,+79707510677,user101075@example.ru,Красноярск,,2026-02-17,125891
c90336,,Наталья Тихонова,+7 (932) 026-43-00,user90336@example.ru,Новосибирск,15.06.2026,,
c105616,Елена Савельева,,+79735806585,user105616@example.ru,Москва,,2026-03-10,117941
c103169,Юлия Гордеева,,+79712163912,user103169@example.ru,Санкт-Петербург,,2026-09-01,27676
c100723,Игорь Мешков,,+79209076051,user100723@example.ru,Санкт-Петербург,,2026-03-11,170018
c100320,Лидия Шилова,,+79783401202,user100320@example.ru,Москва,,2026-09-11,174134
c105369,,Денис Юдин,+7 (969) 510-84-02,user105369@example.ru,С.-Петербург,17.11.2024,,
c100883,Глеб Ковальчук,,+79104499331,user100883@example.ru,Санкт-Петербург,,2026-07-12,69832
c102359,Максим Ермаков,,+79278393965,user102359@example.ru,Красноярск,,2026-02-01,107855
c90486,,Кирилл Панин,+7 (927) 418-35-01,user90486@example.ru,Екатеринбург,05.12.2024,,
c100318,Денис Крылов,,+79542761129,user100318@example.ru,Новосибирск,,2026-03-25,159395
c105390,,Кирилл Лаптев,+7 (929) 307-19-08,user105390@example.ru,Новосибирск,28.02.2024,,
c102988,Тимур Белых,,+79614606986,user102988@example.ru,Санкт-Петербург,,2026-02-01,43306
c90463,,Юлия Осипова,+7 (991) 275-55-70,user90463@example.ru,Новосибирск,19.09.2025,,
c103147,Елена Сорокина,,+79550266126,user103147@example.ru,Казань,,2026-02-19,35425
c102103,Тимур Сорокин,,+79910838503,user102103@example.ru,Казань,,2026-03-06,139950
c103742,Тимур Тихонов,,+79775519342,user103742@example.ru,Санкт-Петербург,,2026-05-12,126389
c103111,Полина Юдина,,+79804398481,user103111@example.ru,Москва,,2026-03-23,105443
c103496,Роман Гордеев,,+79528774704,user103496@example.ru,Санкт-Петербург,,2026-04-04,14246
c91683,,Анна Тихонова,+7 (962) 282-43-11,user91683@example.ru,Москва,12.10.2025,,
c104423,Тимур Осипов,,+79247671635,user104423@example.ru,Екатеринбург,,2026-02-25,152382
c105107,Павел Нестеров,,+79889026743,user105107@example.ru,Красноярск,,2026-08-31,65270
c104671,,Максим Сорокин,+7 (954) 980-38-58,user104671@example.ru,С.-Петербург,08.06.2025,,
c105931,Анна Шилова,,+79750091817,user105931@example.ru,Красноярск,,2026-06-07,168472
c105798,Роман Панин,,+79668266033,user105798@example.ru,Санкт-Петербург,,2026-09-07,45492
c104620,Артур Зуев,,+79961277575,user104620@example.ru,Казань,,2026-03-30,1371
c91384,,Наталья Шилова,+7 (960) 151-13-59,user91384@example.ru,Новосибирск,11.11.2025,,
c105581,Вера Панина,,+79871154767,user105581@example.ru,Казань,,2026-03-28,15450
c90097,,Егор Панин,+7 (975) 431-38-27,user90097@example.ru,Новосибирск,30.05.2025,,
c103038,Наталья Гордеева,,+79282654025,user103038@example.ru,Екатеринбург,,2026-03-18,13313
c100420,Игорь Сорокин,,+79355642574,user100420@example.ru,Екатеринбург,,2026-07-22,153257
c100445,Глеб Крылов,,+79646509058,user100445@example.ru,Казань,,2026-06-12,152662
c104466,,Роман Зуев,+7 (938) 610-82-57,user104466@example.ru,С.-Петербург,08.06.2026,,
c102900,Ольга Зуева,,+79462832934,user102900@example.ru,Новосибирск,,2026-09-01,174697
